Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
 Nauru,,,,,"3,176","3,102","3,165","2,681","3,800","4,978"
 Nepal,266,269,269,281,319,355,389,441,532,543
 Netherlands,"26,339","27,056","29,505","35,960","40,652","42,226","45,159","52,182","58,383","53,258"
 New Zealand,"14,022","13,669","15,707","20,460","24,849","27,385","26,220","31,910","31,818","28,342"
 Nicaragua,"1,031","1,055","1,012","1,010","1,078","1,153","1,225","1,327","1,499","1,438"
 Niger,197,208,227,267,285,321,335,389,477,462
 Nigeria,555,583,731,780,963,"1,222","1,563","1,820","2,232","1,960"
 North Macedonia,"1,878","1,840","1,974","2,441","2,810","3,120","3,440","4,204","5,027","4,799"
 Norway,"38,095","38,554","43,084","50,162","57,677","66,924","74,256","85,277","97,120","80,116"
 Oman,"9,266","9,088","9,285","9,793","11,043","13,563","15,946","17,716","25,061","19,236"
 Pakistan,733,697,690,772,885,949,"1,032","1,146","1,228","1,109"
 Palau,"7,818","8,269","8,369","7,889","8,424","9,326","9,766","10,225","10,581","9,970"
 Panama,"4,261","4,244","4,325","4,470","4,808","5,146","5,598","6,350","7,369","7,807"
 Papua New Guinea,"1,008",862,815,995,"1,112","1,270","1,412","1,576","1,884","1,833"
 Paraguay,"1,752","1,650","1,377","1,453","1,796","1,982","2,452","3,227","4,407","3,963"
 Peru,"1,910","1,910","1,998","2,148","2,405","2,678","3,131","3,634","4,287","4,279"
 Philippines,"1,087","1,004","1,050","1,063","1,137","1,261","1,471","1,765","2,012","1,924"
 Poland,"4,499","5,003","5,222","5,719","6,715","8,046","9,065","11,271","14,052","11,563"
 Portugal,"11,531","11,735","12,928","15,794","18,056","18,791","19,840","22,814","24,946","23,126"
 Puerto Rico,"16,192","18,244","18,973","19,820","20,989","21,959","22,936","23,665","24,898","25,769"
 Qatar,"30,461","28,600","30,701","35,920","42,548","54,358","60,592","65,934","72,485","53,823"
 Romania,"1,668","1,801","2,108","2,672","3,488","4,609","5,745","8,274","10,446","8,541"
 Russia,"1,898","2,250","2,547","3,191","4,396","5,698","7,416","9,757","12,464","9,160"
 Rwanda,266,249,242,258,278,335,369,442,546,585
 Samoa,"1,552","1,558","1,639","1,927","2,342","2,704","2,850","3,121","3,734","3,349"
 San Marino,,,,,"59,313","61,151","64,499","72,992","79,110","67,012"
 São Tomé and Príncipe,551,505,553,648,693,809,840,885,"1,126","1,173"
